"","Language","RealNetworkClustering"
"1","Arabic",0.188481917628908
"2","Basque",0.0467106145981396
"3","Catalan",0.22105653973859
"4","Chinese",0.170795126941291
"5","English",0.235280796183542
"6","Greek",0.133772700499793
"7","Hungarian",0.0508471879053956
"8","Italian",0.143705714825725
"9","Turkish",0.223585094814695
